run,score_type,kmeans_score,em_score,kmeans_clusters,em_components
1,accuracy,100.0,100.0,20,3
2,accuracy,100.0,100.0,20,3
3,accuracy,100.0,100.0,20,3
4,accuracy,100.0,100.0,20,3
5,accuracy,100.0,100.0,20,3
6,accuracy,100.0,100.0,20,3
7,accuracy,100.0,100.0,20,3
8,accuracy,100.0,100.0,20,3
9,accuracy,100.0,100.0,20,3
10,accuracy,100.0,100.0,20,3
11,accuracy,100.0,100.0,20,3
12,accuracy,100.0,100.0,20,3
13,accuracy,100.0,100.0,20,3
14,accuracy,100.0,100.0,20,3
15,accuracy,100.0,100.0,20,3
16,accuracy,100.0,100.0,20,3
17,accuracy,100.0,100.0,20,3
18,accuracy,100.0,100.0,20,3
19,accuracy,100.0,100.0,20,3
20,accuracy,100.0,100.0,20,3
21,accuracy,100.0,100.0,20,3
22,accuracy,100.0,100.0,20,3
23,accuracy,100.0,100.0,20,3
24,accuracy,100.0,100.0,20,3
25,accuracy,100.0,100.0,20,3
26,accuracy,100.0,100.0,20,3
27,accuracy,100.0,100.0,20,3
28,accuracy,100.0,100.0,20,3
29,accuracy,100.0,100.0,20,3
30,accuracy,100.0,100.0,20,3
31,accuracy,100.0,100.0,20,3
32,accuracy,100.0,100.0,20,3
33,accuracy,100.0,100.0,20,3
34,accuracy,100.0,100.0,20,3
35,accuracy,100.0,100.0,20,3
36,accuracy,100.0,100.0,20,3
37,accuracy,100.0,100.0,20,3
38,accuracy,100.0,100.0,20,3
39,accuracy,100.0,100.0,20,3
40,accuracy,100.0,100.0,20,3
41,accuracy,100.0,100.0,20,3
42,accuracy,100.0,100.0,20,3
43,accuracy,100.0,100.0,20,3
44,accuracy,100.0,100.0,20,3
45,accuracy,100.0,100.0,20,3
46,accuracy,100.0,100.0,20,3
47,accuracy,100.0,100.0,20,3
48,accuracy,100.0,100.0,20,3
49,accuracy,100.0,100.0,20,3
50,accuracy,100.0,100.0,20,3
51,accuracy,100.0,100.0,20,3
52,accuracy,100.0,100.0,20,3
53,accuracy,100.0,100.0,20,3
54,accuracy,100.0,100.0,20,3
55,accuracy,100.0,100.0,20,3
56,accuracy,100.0,100.0,20,3
57,accuracy,100.0,100.0,20,3
58,accuracy,100.0,100.0,20,3
59,accuracy,100.0,100.0,20,3
60,accuracy,100.0,100.0,20,3
61,accuracy,100.0,100.0,20,3
62,accuracy,100.0,100.0,20,3
63,accuracy,100.0,100.0,20,3
64,accuracy,100.0,100.0,20,3
65,accuracy,100.0,100.0,20,3
66,accuracy,100.0,100.0,20,3
67,accuracy,100.0,100.0,20,3
68,accuracy,100.0,100.0,20,3
69,accuracy,100.0,100.0,20,3
70,accuracy,100.0,100.0,20,3
71,accuracy,100.0,100.0,20,3
72,accuracy,100.0,100.0,20,3
73,accuracy,100.0,100.0,20,3
74,accuracy,100.0,100.0,20,3
75,accuracy,100.0,100.0,20,3
76,accuracy,100.0,100.0,20,3
77,accuracy,100.0,100.0,20,3
78,accuracy,100.0,100.0,20,3
79,accuracy,100.0,100.0,20,3
80,accuracy,100.0,100.0,20,3
81,accuracy,100.0,100.0,20,3
82,accuracy,100.0,100.0,20,3
83,accuracy,100.0,100.0,20,3
84,accuracy,100.0,100.0,20,3
85,accuracy,100.0,100.0,20,3
86,accuracy,100.0,100.0,20,3
87,accuracy,100.0,100.0,20,3
88,accuracy,100.0,100.0,20,3
89,accuracy,100.0,100.0,20,3
90,accuracy,100.0,100.0,20,3
91,accuracy,100.0,100.0,20,3
92,accuracy,100.0,100.0,20,3
93,accuracy,100.0,100.0,20,3
94,accuracy,100.0,100.0,20,3
95,accuracy,100.0,100.0,20,3
96,accuracy,100.0,100.0,20,3
97,accuracy,100.0,100.0,20,3
98,accuracy,100.0,100.0,20,3
99,accuracy,100.0,100.0,20,3
100,accuracy,100.0,100.0,20,3
