V1,V2,label
-5.12,-4.85,A
-4.83,-5.20,A
-5.35,-4.62,A
-4.55,-4.91,A
-5.01,-5.33,A
-4.70,-4.48,A
-5.42,-5.12,A
-4.92,-4.67,A
-5.25,-5.41,A
-4.61,-5.08,A
-5.08,-4.36,A
-4.44,-4.74,A
-5.51,-4.95,A
-4.76,-5.55,A
-5.18,-4.79,A
-4.88,-4.21,A
-5.63,-5.24,A
-4.32,-4.57,A
-5.29,-5.02,A
-4.96,-5.18,A
0.18,0.42,B
-0.35,-0.12,B
0.51,-0.28,B
-0.14,0.65,B
0.72,0.09,B
-0.62,0.31,B
0.27,-0.55,B
-0.44,-0.39,B
0.05,0.18,B
0.39,0.74,B
-0.76,-0.06,B
0.61,-0.47,B
-0.22,0.08,B
0.84,0.36,B
-0.51,0.59,B
0.12,-0.71,B
-0.68,-0.52,B
0.33,0.22,B
-0.09,-0.33,B
0.47,0.51,B
4.73,5.11,C
5.18,4.86,C
4.49,5.42,C
5.36,5.24,C
4.92,4.58,C
5.61,4.77,C
4.68,5.63,C
5.04,5.09,C
5.42,4.41,C
4.37,4.88,C
5.28,5.52,C
4.81,4.66,C
5.57,5.17,C
4.59,5.31,C
5.13,4.35,C
4.24,5.06,C
5.74,4.93,C
4.86,5.70,C
5.21,5.38,C
4.52,4.47,C
